pedal_id	builder	model	photo_count	primary_photo_source
DISC-0196		Shin-Ei Companion FY-2 Fuzz Box	0	
DISC-0197		Companion FY-2 Fuzz Box	0	
DISC-0198		Avora FY-2 Fuzz Box	0	
DISC-0199		J.H. Experience FY-2 Fuzz Box	0	
DISC-0200		JAX FY-2 Fuzz Box	0	
DISC-0201		Kimbara FY-2 Fuzz Box	0	
DISC-0202		Suzuki FY-2 Fuzz	0	
DISC-0203		Tele-Star FY-2 Fuzz Box	0	
DISC-0204		Tempo TR-2 Fuzz	0	
DISC-0205		Thomas FY-2 Fuzz Box	0	
DISC-0206		Zenta FY-2 Fuzz Box	0	
DISC-0207		Ideal Fuzz Master	0	
DISC-0208		Greco No. 35 Haztone	0	
DISC-0209		Apollo No. 843 Distorter	0	
DISC-0210		Crestwood Fuzz	0	
DISC-0211		Sekova Model No. 59 Distortion Box	0	
DISC-0212		Tele-Star Fuzz	0	
DISC-0213		CS. Cathey AS-01 Sustainer	0	
DISC-0214		CS. Cathey AD-02 Distortion Box	0	
DISC-0215		CS. Cathey AB-03	0	
DISC-0216		CS. Cathey AO-05	0	
DISC-0217		SM Fuzz	0	
DISC-0218		Westminster Effects Wycliffe - Fuzz	0	
DISC-0219		Leone Effects Co. Super Box - Fuzz Machine	0	
DISC-0220		Shoe Pedals fuzz catalog	0	
DISC-0221		Spiral Electric FX Ge Fuzz	0	
DISC-0222		Gigahearts FX Small Cheese	0	
DISC-0223		Mythos Pedals High Road Mini - Joey Landreth signature Fuzz	0	
DISC-0224		Orion Effekte Ramlon Fuzz	0	
DISC-0225		Montgomery Appliances Beast Egg Fuzz	0	
DISC-0226		Montgomery Appliances Buzzaround	0	
DISC-0227		Montgomery Appliances Dreamsicle	0	
DISC-0228		Montgomery Appliances FSH	0	
DISC-0229		Montgomery Appliances Longtail	0	
DISC-0230		Montgomery Appliances MkII Professional	0	
DISC-0231		Montgomery Appliances Model 219 - Cascaded Silicon Fuzztone	0	
DISC-0232		Montgomery Appliances Model One Fuzz	0	
DISC-0233		Montgomery Appliances Supa Bender	0	
DISC-0234		Montgomery Appliances The Badlands - Germanium Fuzz Machine	0	
DISC-0235		Montgomery Appliances Tone Bender MkIII	0	
DISC-0236		Montgomery Appliances Tone Bender Quattro	0	
DISC-0237		1969 Effects Bone Blender	0	
DISC-0238		1969 Effects Scarlet Storm	0	
DISC-0239		Orbit Fuzz Tone	0	
DISC-0240		Pro'Traffic Fuzz Unit	0	
DISC-0241		Klinger Custom Pedals Jimi Fuzz	0	
DISC-0242		Big John Hairy Balls	0	
DISC-0243		Aul Instruments Fuzz	0	
DISC-0244		MGI Fuzz	0	
DISC-0245		Vintage Technology Banana Fuzz	0	
DISC-0246		Sunhaus Djandek - Geological Fuzz	0	
DISC-0251		Kay F-1 Fuzz Tone	0	
DISC-0252		Uecks Fuzz Tone	0	
DISC-0253		Excetro Wau Wau Fuzz	0	
DISC-0254		Excetro Wau Wau Machine	0	
DISC-0255		Jen Fuzz	0	
DISC-0256		Jen Tone Bender	0	
DISC-0257		Elka Fuzz	0	
DISC-0258		Luxor Fuzz	0	
DISC-0259		Unicord Fuzz	0	
DISC-0260		Good Fuzzy Sounds Bad Nite Fuzz	0	
DISC-0261		Walco Fuzz Tone Generator	0	
